File_Name,Sentiment,Score
no1.txt,negative,-0.8491379310344828
no10.txt,negative,-1.22
no11.txt,negative,-0.6240740740740741
no12.txt,positive,0.7666666666666667
no13.txt,negative,-1.2434782608695654
no14.txt,negative,-1.2200336700336698
no15.txt,negative,-1.044673382173382
no16.txt,negative,-1.2582018697049373
no17.txt,positive,0.14655172413793102
no18.txt,negative,-0.08333333333333329
no19.txt,negative,-2.2658536585365856
no2.txt,positive,0.12464754689754684
no20.txt,negative,-0.504
no21.txt,negative,-0.7045454545454546
no22.txt,negative,-1.2041666666666666
no23.txt,positive,0.14857142857142858
no24.txt,negative,-1.3262345679012346
no25.txt,negative,-0.03382352941176466
no3.txt,negative,-0.6765277777777778
no4.txt,positive,0.3572072072072072
no5.txt,negative,-0.059027777777777776
no6.txt,negative,-0.30460992907801415
no7.txt,negative,-0.3529411764705882
no8.txt,positive,0.3230769230769231
no9.txt,positive,0.1
yes1.txt,positive,1.1523809523809523
yes10.txt,positive,1.6818181818181819
yes11.txt,negative,-0.3202380952380952
yes12.txt,negative,-0.1597222222222222
yes13.txt,negative,-0.6840136054421768
yes14.txt,positive,0.03548387096774192
yes15.txt,negative,-0.014989648033126333
yes16.txt,positive,0.35327868852459016
yes17.txt,negative,-0.3063218390804598
yes18.txt,positive,0.18857142857142858
yes19.txt,negative,-0.9218036529680366
yes2.txt,positive,0.0625
yes20.txt,negative,-1.0357142857142858
yes21.txt,negative,-0.11270491803278691
yes22.txt,positive,0.4234177215189874
yes23.txt,positive,0.21138888888888893
yes24.txt,negative,-0.8318965517241379
yes25.txt,negative,-0.2796875
yes3.txt,positive,0.014545454545454533
yes4.txt,positive,0.5872759856630825
yes5.txt,positive,0.45806451612903226
yes6.txt,negative,-1.5464285714285713
yes7.txt,positive,0.5113207547169811
yes8.txt,positive,0.5461111111111111
yes9.txt,positive,0.02083333333333331
